Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Preu_mitja_habitatge,Valor
2019,2,8,Nou Barris,53,la Trinitat Nova,Nou. Euros/m2 construït,NA
2019,2,8,Nou Barris,54,Torre Baró,Nou. Euros/m2 construït,NA
2019,2,8,Nou Barris,55,Ciutat Meridiana,Nou. Euros/m2 construït,NA
2019,2,8,Nou Barris,56,Vallbona,Nou. Euros/m2 construït,NA
2019,2,9,Sant Andreu,57,la Trinitat Vella,Nou. Euros/m2 construït,NA
2019,2,9,Sant Andreu,58,Baró de Viver,Nou. Euros/m2 construït,NA
2019,2,9,Sant Andreu,59,el Bon Pastor,Nou. Euros/m2 construït,NA
2019,2,9,Sant Andreu,60,Sant Andreu,Nou. Euros/m2 construït,4194.2
2019,2,9,Sant Andreu,61,la Sagrera,Nou. Euros/m2 construït,NA
2019,2,9,Sant Andreu,62,el Congrés i els Indians,Nou. Euros/m2 construït,NA
2019,2,9,Sant Andreu,63,Navas,Nou. Euros/m2 construït,NA
2019,2,10,Sant Martí,64,el Camp de l'Arpa del Clot,Nou. Euros/m2 construït,4263.1
2019,2,10,Sant Martí,65,el Clot,Nou. Euros/m2 construït,4482
2019,2,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Nou. Euros/m2 construït,NA
2019,2,10,Sant Martí,67,la Vila Olímpica del Poblenou,Nou. Euros/m2 construït,NA
2019,2,10,Sant Martí,68,el Poblenou,Nou. Euros/m2 construït,NA
2019,2,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Nou. Euros/m2 construït,NA
2019,2,10,Sant Martí,70,el Besòs i el Maresme,Nou. Euros/m2 construït,4309.5
2019,2,10,Sant Martí,71,Provençals del Poblenou,Nou. Euros/m2 construït,NA
2019,2,10,Sant Martí,72,Sant Martí de Provençals,Nou. Euros/m2 construït,NA
2019,2,10,Sant Martí,73,la Verneda i la Pau,Nou. Euros/m2 construït,NA
2019,2,1,Ciutat Vella,1,el Raval,Usat. Euros/m2 construït,3693.6
2019,2,1,Ciutat Vella,2,el Barri Gòtic,Usat. Euros/m2 construït,5270.7
2019,2,1,Ciutat Vella,3,la Barceloneta,Usat. Euros/m2 construït,4549.5
